Date,RSI_2,RSI_5,RSI_14,RSI_20
7/2/1993,41.40069622,38.68592538,40.668788,42.58085186
7/6/1993,91.36392193,77.79900975,59.88380583,56.18204008
7/7/1993,64.66478399,62.38250052,53.85130784,52.00619284
7/8/1993,45.12555298,50.51664866,48.66305047,48.28390504
7/9/1993,24.98971593,35.93485952,41.11747466,42.59324792
7/12/1993,26.69339976,36.69622754,41.45519109,42.83886451
7/13/1993,34.30334646,39.62374301,42.65335413,43.69882869
7/14/1993,28.12135549,36.74494758,41.37259966,42.74554536
7/15/1993,23.38103113,34.48973408,40.39784487,42.02361359
7/16/1993,49.11405834,42.90046676,43.26233446,44.00943169
7/19/1993,70.0618515,52.96501388,47.04927041,46.6731661
7/20/1993,46.51119311,45.1364181,44.44312773,44.83657845
7/21/1993,74.90439414,60.75558473,50.97224537,49.51697883
7/22/1993,60.29332098,55.03352388,49.0909726,48.20982451
7/23/1993,43.48151305,47.88250293,46.65312976,46.50641684
7/26/1993,43.48151305,47.88250293,46.65312976,46.50641684
7/27/1993,45.33531302,48.40435159,46.81701186,46.61881989
7/28/1993,49.09228909,49.31781023,47.0782947,46.79489997
7/29/1993,34.75890121,45.45503818,46.10748786,46.15546778
7/30/1993,76.29156228,60.35848636,50.48356241,49.07794532
8/2/1993,50.28313041,51.25546335,48.2115899,47.60829632
8/3/1993,52.16475746,51.92474177,48.40297039,47.73470781
8/4/1993,70.55337919,59.30103495,50.55640182,49.1517477
8/5/1993,83.98530741,67.89818763,53.57593649,51.17355783
8/6/1993,90.24359269,74.06212468,56.25912927,53.01265966
8/9/1993,91.26736486,75.2047614,56.79423991,53.38140721
8/10/1993,75.43588893,70.25301145,55.81871589,52.80128325
8/11/1993,42.36586602,56.7913651,52.89820333,51.05358061
8/12/1993,68.83584348,66.68585837,56.07851667,53.15645147
8/13/1993,48.39967709,57.07348641,53.6976092,51.72629276
8/16/1993,34.0390737,49.03772099,51.47911058,50.37802063
8/17/1993,16.69825971,35.17187436,46.65977808,47.35397245
8/18/1993,14.81183059,33.28930561,45.89257514,46.86170206
8/19/1993,32.72618757,39.40528446,47.35012298,47.75779436
8/20/1993,31.81388843,39.01508058,47.22620921,47.68104276
8/23/1993,78.79917031,62.58106726,54.05406928,51.97607132
8/24/1993,46.83253125,47.90997266,49.52082052,49.17677731
8/25/1993,65.05769261,58.03021201,53.13064872,51.52637276
8/26/1993,67.2995555,59.29552605,53.60461883,51.83809129
8/27/1993,43.32483722,49.08477967,50.46087019,49.9006848
8/30/1993,31.05811046,42.5811568,48.22127956,48.4940839
8/31/1993,45.91971622,47.9373897,49.76692769,49.46195142
9/1/1993,21.99605486,34.82489963,44.93303167,46.38357743
9/2/1993,57.22824599,51.57807028,50.3764353,49.83875688
9/3/1993,25.62368791,33.02999638,42.23330468,44.37272775
9/7/1993,75.45432444,67.45177022,59.44608087,56.6163743
9/8/1993,79.48326586,70.95260079,61.82740223,58.49087483
9/9/1993,56.26077231,58.33085936,55.92842245,54.35661856
9/10/1993,32.22639068,42.78747091,47.64071713,48.26132415
9/13/1993,48.02165972,50.32083499,51.30693417,50.99745157
9/14/1993,70.33836627,62.92767506,58.07598715,56.22839628
9/15/1993,54.41046059,55.27645483,54.39344361,53.50254282
9/16/1993,69.57011708,63.15999619,58.52602657,56.73272538
9/17/1993,70.244733,63.51083499,58.70824746,56.87570906
9/20/1993,87.29089559,75.02330087,65.29717437,62.17009478
9/21/1993,95.64381692,86.46116888,74.88030155,70.62092326
9/22/1993,41.65269045,50.1942878,53.90878601,53.97492022
9/23/1993,38.10776876,47.56410429,52.18836199,52.54621161
9/24/1993,29.51055656,41.59535623,48.4108385,49.41220038
9/27/1993,30.04255373,41.79232863,48.50058943,49.48329283
9/28/1993,25.68152828,39.40048866,47.18140399,48.41175126
9/29/1993,43.67062599,44.94594777,49.34643201,50.07660195
9/30/1993,56.57171503,49.48456496,51.10341769,51.42336458
10/1/1993,26.84972003,37.52340626,45.63822323,47.12246132
10/4/1993,56.79164777,50.21987406,50.61404209,50.91296941
10/5/1993,59.70246277,51.60822558,51.17733809,51.34382776
10/6/1993,47.98441824,47.74648701,49.70925572,50.2251751
10/7/1993,64.54281394,54.2611278,52.04707477,51.96812804
10/8/1993,30.13407434,39.96372767,46.50787071,47.76822577
10/11/1993,39.76735204,43.53450398,47.70059753,48.63988631
10/12/1993,47.2113922,46.15477346,48.53882635,49.24625749
10/13/1993,20.77090654,33.38801541,43.41900385,45.38310339
10/14/1993,15.85653021,29.74541409,41.68114358,44.0446668
10/15/1993,14.1397817,28.47028584,41.07848356,43.58295672
10/18/1993,45.47349747,39.4854158,44.14049989,45.69788925
10/19/1993,59.1011833,45.60400766,45.97162866,46.96849165
10/20/1993,42.5714968,40.51296566,44.3580237,45.80298172
10/21/1993,36.27436521,38.38516204,43.67831986,45.31442122
10/22/1993,58.01215809,46.28457082,45.75627907,46.70712837
10/25/1993,74.39127551,54.94841464,48.31037966,48.43088512
10/26/1993,74.39127551,54.94841464,48.31037966,48.43088512
10/27/1993,82.35574998,59.75553184,49.70840436,49.35960975
10/28/1993,61.60094497,54.69736521,48.68939091,48.69458456
10/29/1993,27.73194905,41.1824253,45.46327497,46.56628288
11/1/1993,55.61905473,52.02117636,48.26174902,48.37151034
11/2/1993,51.8663527,50.62190523,47.93234105,48.15796799
11/3/1993,90.06709161,77.82308331,59.25507684,55.92202766
11/4/1993,95.29722753,86.28989822,66.53851603,61.56794495
11/5/1993,95.95042812,87.4629203,67.79807278,62.59534023
11/8/1993,65.08796941,70.89684593,62.09825349,58.8367265
11/9/1993,51.23106963,62.88419582,59.11321896,56.82811462
11/10/1993,43.05568693,58.19161384,57.35675703,55.64217687
11/11/1993,51.49901704,60.74791289,58.32174997,56.33798425
11/12/1993,29.18560232,48.51233723,53.83487901,53.31918448
11/15/1993,69.67634161,65.59647298,60.52078833,58.15611707
11/16/1993,79.6942854,72.00774112,63.75584997,60.62059516
11/17/1993,84.96649777,75.83245711,65.87606953,62.27177045
11/18/1993,47.76282198,57.1060452,58.53811722,57.232304
11/19/1993,58.90992664,61.78367052,60.48597596,58.68245402
11/22/1993,76.28744226,70.59384464,64.5690741,61.79650109
11/23/1993,34.85783608,46.49517736,53.47648368,53.81712719
11/24/1993,25.26264197,39.0387711,49.2497789,50.61735081
11/26/1993,34.51301698,42.8043004,50.67866265,51.64998101
11/29/1993,47.60721822,47.99355989,52.60336844,53.03801741
11/30/1993,36.38315508,43.16027978,50.4343961,51.44303982
12/1/1993,40.47627259,44.46525002,50.85654427,51.73934914
12/2/1993,28.08532069,39.49148438,48.81998382,50.26697621
12/3/1993,12.90281002,29.384389,43.984126,46.69185198
12/6/1993,24.15325773,33.1405513,45.05091128,47.41026805
12/7/1993,15.52828653,28.01448006,42.56135599,45.56205414
12/8/1993,20.48102633,29.53530519,42.95409806,45.81992973
12/9/1993,19.45444005,29.09276609,42.76611551,45.68359412
12/10/1993,43.51849937,35.6492734,44.24750119,46.62848444
12/13/1993,8.25690532,17.32754624,34.99851968,39.71549695
12/14/1993,17.53704335,21.79351797,36.31906723,40.57208208
12/15/1993,15.92606557,20.89070413,35.79957314,40.17251299
12/16/1993,13.50662656,19.62260796,35.10027398,39.63963608
12/17/1993,34.25155991,26.98658113,36.92801245,40.78165324
12/20/1993,20.63879699,22.45964944,34.99226835,39.34854119
12/21/1993,9.337260132,15.94359786,31.41054849,36.60620795
12/22/1993,4.803180113,11.38739469,27.89477039,33.76644462
12/23/1993,17.99120108,17.62411524,29.75465043,34.93651563
12/27/1993,35.37115439,25.74058725,32.1802081,36.46173584
12/28/1993,44.92151863,30.23958786,33.52172322,37.30349229
12/29/1993,74.75987905,49.73104711,40.27280245,41.633631
12/30/1993,80.46480356,55.13678315,42.52039863,43.11609788
12/31/1993,91.96036253,70.94778503,50.87385083,48.8672478
1/3/1994,95.60214561,79.20017257,57.13542649,53.49843015
1/4/1994,64.04213151,63.50134906,51.98638603,50.04652777
1/5/1994,37.06655154,47.05257825,45.52583225,45.51457802
1/6/1994,48.20081311,52.11621371,47.8865048,47.22182749
1/7/1994,38.58231639,47.04449217,45.88513149,45.80610831
1/10/1994,31.82244251,43.4440558,44.47186356,44.80515776
1/11/1994,58.85543178,54.0045152,48.70381632,47.79944628
1/12/1994,70.38466365,59.88758996,51.30638821,49.67574346
1/13/1994,80.28335974,66.10212742,54.27530275,51.84649288
1/14/1994,38.51732749,47.14534544,47.55620968,47.22087116
1/17/1994,61.8719698,58.38637083,52.50149628,50.83602614
1/18/1994,51.76998073,53.69345828,50.74568871,49.61401401
1/19/1994,57.21833387,55.90504742,51.6466342,50.26675867
1/20/1994,32.10774896,44.21064368,47.36252772,47.29736545
1/21/1994,29.81775366,42.95274398,46.87647521,46.95756147
1/24/1994,60.5595798,54.31671007,50.81653491,49.72093826
1/25/1994,47.18572045,49.23931536,49.13231471,48.57471636
1/26/1994,35.84996422,44.47697362,47.5215064,47.47772009
1/27/1994,14.38081917,30.03520559,41.48445096,43.23077043
1/28/1994,10.4838869,25.86496158,39.27252656,41.61345912
1/31/1994,49.68379046,43.8091649,45.2656685,45.70158
2/1/1994,50.62388783,44.27828848,45.43291009,45.81704328
2/2/1994,47.93695612,43.40851149,45.13737167,45.61335408
2/3/1994,59.28283144,47.7216027,46.44379653,46.48763783
2/4/1994,96.46157109,86.73036626,70.57478683,65.30899079
2/7/1994,69.26566391,69.01526878,61.99524384,59.05678827
2/8/1994,63.06341089,65.29345365,60.17257429,57.70777799
2/9/1994,54.30988768,60.58843006,57.98088553,56.09331863
2/10/1994,70.4013124,67.84794358,61.86662849,59.2211437
2/11/1994,73.65820692,69.42942282,62.73086875,59.92275064
2/14/1994,64.89463571,66.23092099,61.50884428,59.04994518
2/15/1994,34.65683122,52.13933308,55.81360391,54.94195592
2/16/1994,28.53720099,48.35165693,54.1649218,53.73759022
2/17/1994,56.62223412,57.42424415,57.45628399,56.20181246
2/18/1994,76.07139861,67.01187138,61.53653419,59.3374978
2/22/1994,40.6342883,49.6235261,54.30111115,54.06714499
2/23/1994,51.77229248,54.32416461,56.12780628,55.44062226
2/24/1994,80.54774508,71.24723603,64.1894545,61.75276278
2/25/1994,53.4692293,56.9257832,57.75527063,56.9588291
2/28/1994,54.84334881,57.54377362,58.02729015,57.16950656
3/1/1994,71.90883005,65.65342566,61.65530638,59.98963558
3/2/1994,75.52232181,67.58813141,62.55831034,60.69725039
3/3/1994,79.87209529,69.86922261,63.58732085,61.49803581
3/4/1994,59.48556226,63.02567267,61.26777054,59.85175639
3/7/1994,20.86859048,40.19246391,51.53296718,52.69310903
3/8/1994,62.36301323,59.92007756,59.36501622,58.58218944
3/9/1994,36.11750496,43.87553131,51.17873114,52.2701295
3/10/1994,63.33373658,59.26558114,58.4048397,57.87399009
3/11/1994,42.1750586,47.09883054,51.93869884,52.76722293
3/14/1994,61.93276371,57.85267588,57.1973103,56.90284641
3/15/1994,40.24138017,46.04067933,50.91928697,51.88591546
3/16/1994,37.34656307,44.43442929,50.0508576,51.18677627
3/17/1994,21.97656906,34.95063667,44.75069185,46.88714207
3/18/1994,34.84713918,39.87813107,46.68635381,48.34503321
3/21/1994,55.08830719,48.41839565,50.09823534,50.92146392
3/22/1994,38.41511089,41.78463042,47.09091727,48.55316426
3/23/1994,25.33777416,35.20456665,43.88235663,45.99941904
3/24/1994,51.18663812,45.82184619,47.83180468,48.92461678
3/25/1994,56.07473087,48.01234754,48.66134577,49.5396374
3/28/1994,75.18085669,58.36502622,52.78401277,52.61038683
3/29/1994,86.53632562,68.19100349,57.5098355,56.22607382
3/30/1994,92.93773596,76.85006249,62.7813389,60.41453839
3/31/1994,95.67178398,82.04500874,66.70169335,63.64925229
4/4/1994,97.90679119,87.99107314,72.42400963,68.602573
4/5/1994,42.56795708,52.78477954,55.32652372,55.3185622
4/6/1994,38.32261401,49.6687917,53.55651881,53.88699641
4/7/1994,35.49098147,47.86060162,52.59502472,53.1172233
4/8/1994,34.91058798,47.54901728,52.44370928,52.99798391
4/11/1994,30.9837835,45.70423874,51.62157622,52.36032989
4/12/1994,28.07998886,44.43624563,51.09557013,51.95801768
4/13/1994,50.1916097,49.72208853,52.72541339,53.15156755
4/14/1994,31.83809674,43.51293617,50.47259337,51.47315113
4/15/1994,26.26714979,41.129755,49.59470007,50.82158592
4/18/1994,65.25751908,54.04438187,53.31477849,53.46617685
4/19/1994,55.04603643,50.91004336,52.34671528,52.76934158
4/20/1994,57.77981374,51.83474984,52.60109421,52.94697363
4/21/1994,17.13670071,32.64741533,45.79165698,48.01689278
4/22/1994,17.55491946,32.79094423,45.82778074,48.04131567
4/25/1994,11.58890908,27.93356889,43.70581585,46.48205645
4/26/1994,8.617275186,24.93516488,42.28667644,45.43461797
4/28/1994,42.65891292,37.38405004,45.22777741,47.35714495
4/29/1994,26.95860003,30.96195268,42.79255484,45.59892768
5/2/1994,41.73706532,36.93514353,44.2697399,46.55616829
5/3/1994,32.92112708,33.83548481,43.2148173,45.80937626
5/4/1994,55.4867448,43.01711416,45.44347579,47.23140143
5/5/1994,65.32806453,47.89752876,46.70410682,48.03676346
5/6/1994,78.84176449,56.50660266,49.12964902,49.59251243
5/9/1994,90.44451064,69.19322491,53.80773288,52.68195304
5/10/1994,52.01579742,52.64332959,49.43318602,49.80335719
5/11/1994,61.1946306,57.20227484,51.01673005,50.84991487
5/12/1994,57.09875198,55.5966176,50.59235225,50.57313298
5/13/1994,28.17895561,41.35659008,46.36793922,47.78160015
5/16/1994,35.14170735,43.79751675,47.03746761,48.205779
5/17/1994,21.16999049,35.70392361,44.34552269,46.40927498
5/18/1994,8.313278372,22.66830598,38.2615478,42.13376366
5/19/1994,7.350456245,21.32487704,37.46957392,41.55575413
5/20/1994,32.03751703,31.50944716,40.24067511,43.26452521
5/23/1994,57.74044092,44.60435265,44.26758828,45.79672049
5/24/1994,35.73237157,35.70927854,41.04980729,43.57939937
5/25/1994,29.15300482,32.62721723,39.82546634,42.7220782
5/26/1994,33.44232477,34.21697898,40.27083302,42.99682173
5/27/1994,33.01401443,34.07912504,40.22526406,42.96590771
5/31/1994,67.12186287,47.72612615,43.89819115,45.19990912
6/1/1994,46.66232106,41.76923139,42.29951255,44.15733017
6/2/1994,47.43756247,42.04922142,42.37204782,44.2009241
6/3/1994,21.78731436,32.06005381,39.49918501,42.32737855
6/6/1994,65.41818031,52.93203037,45.64174861,46.06164602
6/7/1994,66.09370151,53.34157423,45.78217362,46.14881681
6/8/1994,75.70422311,59.10592449,47.73510103,47.35483772
6/9/1994,64.52712476,55.73931989,46.99617887,46.90547059
6/10/1994,31.52410615,42.12744088,43.57940656,44.79552369
